Effective Date,County,Trade Title,Region,Type,Class,Base Wage,Foreman Wage,OT M-F,OT Sa,OT Su,OT Hol,H/W,Pension,Vacation,Training,Other Fringe Benefit
11/9/2018,Adams,SPRINKLER FITTER,All,BLD,,37.12,39.87,1.5,1.5,2,2,8.42,8.50,0.00,0.35,0.00
8/15/2018,Adams,STONE MASON,All,BLD,,30.29,31.80,1.5,1.5,2,2,9.10,11.18,0.00,0.85,0.00
8/15/2018,Adams,TERRAZZO FINISHER,ALL,BLD,,30.48,30.48,1.5,1.5,2,2,8.57,8.58,0.00,0.10,
8/15/2018,Adams,TERRAZZO MASON,ALL,BLD,,31.98,31.98,1.5,1.5,2,2,8.57,8.58,0.00,0.10,
8/15/2018,Adams,TILE LAYER,ALL,BLD,,29.10,31.35,1.5,1.5,2,2,7.35,12.50,0.00,0.42,
8/15/2018,Adams,TILE MASON,All,BLD,,32.53,32.53,1.5,1.5,2,2,9.10,8.71,0.00,0.15,0.00
8/15/2018,Adams,TRUCK DRIVER,All,ALL,1,37.16,41.17,1.5,1.5,2,2,12.65,6.35,0.00,0.25,0.00
4/5/2019,Adams,TRUCK DRIVER,All,ALL,2,37.69,41.17,1.5,1.5,2,2,12.65,6.35,0.00,0.25,0.00
8/15/2018,Adams,TRUCK DRIVER,All,ALL,3,37.98,41.17,1.5,1.5,2,2,12.65,6.35,0.00,0.25,0.00
4/5/2019,Adams,TRUCK DRIVER,All,ALL,4,38.30,41.17,1.5,1.5,2,2,12.65,6.35,0.00,0.25,0.00
8/15/2018,Adams,TRUCK DRIVER,All,ALL,5,39.32,41.17,1.5,1.5,2,2,12.65,6.35,0.00,0.25,0.00
8/15/2018,Adams,TRUCK DRIVER,All,O&C,1,29.73,32.94,1.5,1.5,2,2,12.65,6.35,0.00,0.25,0.00
8/15/2018,Adams,TRUCK DRIVER,All,O&C,2,30.15,32.94,1.5,1.5,2,2,12.65,6.35,0.00,0.25,0.00
8/15/2018,Adams,TRUCK DRIVER,All,O&C,3,30.38,32.94,1.5,1.5,2,2,12.65,6.35,0.00,0.25,0.00
8/15/2018,Adams,TRUCK DRIVER,All,O&C,4,30.64,32.94,1.5,1.5,2,2,12.65,6.35,0.00,0.25,0.00
8/15/2018,Adams,TRUCK DRIVER,All,O&C,5,31.46,32.94,1.5,1.5,2,2,12.65,6.35,0.00,0.25,0.00
8/15/2018,Adams,TUCKPOINTER,All,BLD,,30.29,31.80,1.5,1.5,2,2,9.10,11.18,0.00,0.85,0.00
8/15/2018,Alexander,ASBESTOS ABT-GEN,All,ALL,,28.21,28.66,1.5,1.5,2,2,7.28,15.15,0.00,0.90,0.00
8/15/2018,Alexander,ASBESTOS ABT-GEN,ALL,BLD,,27.55,28.00,1.5,1.5,2,2,6.72,13.42,0.00,0.90,
8/15/2018,Alexander,ASBESTOS ABT-MEC,ALL,BLD,,31.56,32.56,1.5,1.5,2,2,8.25,3.00,0.00,0.00,
8/15/2018,Alexander,BOILERMAKER,All,BLD,,37.00,39.50,1.5,1.5,2,2,7.07,23.72,1.50,1.05,0.00
8/15/2018,Alexander,BRICK MASON,All,BLD,,30.92,32.78,1.5,1.5,2,2,9.10,9.67,0.00,0.85,0.00
10/26/2018,Alexander,CARPENTER,All,BLD,,36.11,37.61,1.5,1.5,2,2,7.25,9.25,0.00,0.50,0.00
8/15/2018,Alexander,CARPENTER,All,HWY,,36.01,37.51,1.5,1.5,2,2,7.25,9.25,0.00,0.50,0.00
8/15/2018,Alexander,CEMENT MASON,All,BLD,,30.25,31.75,1.5,1.5,2,2,9.10,7.63,0.00,0.50,0.00
8/15/2018,Alexander,CEMENT MASON,All,HWY,,29.11,30.11,1.5,1.5,2,2,9.10,7.74,0.00,0.40,0.00
8/15/2018,Alexander,CERAMIC TILE FNSHER,ALL,BLD,,29.20,29.20,1.5,1.5,2,2,8.75,9.24,0.00,0.80,
8/15/2018,Alexander,ELECTRIC PWR EQMT OP,All,ALL,1,41.14,55.15,1.5,1.5,2,2,6.93,11.52,0.00,0.41,0.00
8/15/2018,Alexander,ELECTRIC PWR EQMT OP,All,ALL,2,36.70,55.15,1.5,1.5,2,2,6.93,10.28,0.00,0.37,0.00
8/15/2018,Alexander,ELECTRIC PWR GRNDMAN,All,ALL,,30.17,55.15,1.5,1.5,2,2,6.93,8.45,0.00,0.30,0.00
8/15/2018,Alexander,ELECTRIC PWR LINEMAN,All,ALL,,51.65,55.15,1.5,1.5,2,2,6.93,14.46,0.00,0.52,0.00
4/5/2019,Alexander,ELECTRICIAN,All,ALL,,43.56,45.81,1.5,1.5,2,2,8.64,12.64,0.00,0.86,0.00
8/15/2018,Alexander,ELECTRONIC SYS TECH,All,BLD,,34.58,36.58,1.5,1.5,2,2,7.74,5.19,0.00,0.40,0.00
11/30/2018,Alexander,ELEVATOR CONSTRUCTOR,All,BLD,,48.54,54.61,2,2,2,2,15.43,16.61,3.88,0.61,0.00
8/15/2018,Alexander,FLOOR LAYER,All,BLD,,33.43,34.18,1.5,1.5,2,2,7.25,9.25,0.00,0.50,0.00
8/15/2018,Alexander,GLAZIER,ALL,BLD,,27.23,29.43,1.5,1.5,2,2,6.22,6.95,0.00,0.40,
11/16/2018,Alexander,HT/FROST INSULATOR,ALL,BLD,,38.70,39.70,1.5,1.5,2,2,10.26,12.21,3.90,0.70,0.00
8/15/2018,Alexander,IRON WORKER,All,ALL,,31.66,33.66,1.5,1.5,2,2,9.82,13.98,0.00,0.70,0.00
4/18/2019,Alexander,LABORER,All,BLD,,27.21,27.66,1.5,1.5,2,2,7.28,15.15,0.00,0.80,0.00
8/15/2018,Alexander,LABORER,All,HWY,,27.21,27.66,1.5,1.5,2,2,7.28,15.15,0.00,0.80,0.00
8/15/2018,Alexander,LABORER,All,O&C,,20.41,20.86,1.5,1.5,2,2,7.28,15.15,0.00,0.80,0.00
8/15/2018,Alexander,MACHINIST,All,BLD,,48.38,50.88,1.5,1.5,2,2,7.23,8.95,1.85,1.47,0.00
8/15/2018,Alexander,MARBLE FINISHERS,ALL,BLD,,29.20,29.20,1.5,1.5,2,2,8.75,9.24,0.00,0.80,
8/15/2018,Alexander,MARBLE MASON,All,BLD,,30.92,32.78,1.5,1.5,2,2,9.10,9.67,0.00,0.85,0.00
8/15/2018,Alexander,MILLWRIGHT,All,BLD,,36.11,37.61,1.5,1.5,2,2,7.25,9.25,0.00,0.50,0.00
8/15/2018,Alexander,MILLWRIGHT,All,HWY,,36.01,37.51,1.5,1.5,2,2,7.25,9.25,0.00,0.50,0.00
8/15/2018,Alexander,OE RIVER 1,All,RIV,1,35.25,36.25,1.5,1.5,2,2,10.10,11.00,0.00,4.15,0.00
8/15/2018,Alexander,OE RIVER 2,All,RIV,2,31.80,36.25,1.5,1.5,2,2,10.10,11.00,0.00,4.15,0.00
8/15/2018,Alexander,OPERATING ENGINEER,All,ALL,1,35.15,36.15,1.5,1.5,2,2,10.10,11.00,0.00,4.15,0.00
8/15/2018,Alexander,OPERATING ENGINEER,All,ALL,2,33.25,36.15,1.5,1.5,2,2,10.10,11.00,0.00,4.15,0.00
8/15/2018,Alexander,OPERATING ENGINEER,All,ALL,3,25.85,36.15,1.5,1.5,2,2,10.10,11.00,0.00,4.15,0.00
8/15/2018,Alexander,OPERATING ENGINEER,All,O&C,1,26.36,0.00,1.5,1.5,2,2,10.10,11.00,0.00,4.15,0.00
